ortho	freq
backlog	14
backlogs	1
backmoat	0
backoche	0
backoiled	0
backpaced	0
backrand	0
backrend	0
backroar	0
backrocks	0
backroom	24
backrose	0
backs	391
backseat	112
backshade	0
backshounts	0
backside	78
backsides	15
backslice	0
backslide	1
backsolves	0
backspace	0
backspade	0
backstage	243
backstairs	10
backstand	0
backstands	0
backstashed	0
backstay	0
backstoves	0
backstow	0
backstraps	0
backstroke	12
backteem	0
backtrack	22
backtracked	7
backtracks	0
backtrot	0
backtush	0
backup	802
backups	22
backwade	0
backwades	0
backward	141
backwards	633
backwash	12
backwoods	27
backy	0
backyard	350
backyards	12
bacon	461
bacos	0
bacoste	0
bacrus	0
bacty	0
bad	26037
baddered	0
baddoo	0
baddoos	0
bade	22
bades	0
badge	741
badger	49
badgered	10
badgers	6
badges	94
badhet	0
badhets	0
badle	0
badly	1286
badness	23
bafe	0
bafel	0
bafer	0
baffed	0
baffein	0
baffes	0
baffle	8
baffled	47
baffles	18
baffling	13
baffs	0
bafoi	0
bafting	0
bafts	0
bag	4600
baged	0
bagful	5
baggage	300
bagged	91
bagging	42
baggling	0
baggy	42
bagit	0
bagles	0
bagny	0
bagpipe	13
bagpipes	29
bagrope	0
bags	1419
bagued	0
bagwapes	0
bah	25
bahrain	0
baid	0
baide	0
baids	0
baigreesh	0
bail	793
bailed	138
bailee	0
bailees	0
bailey	1
baileys	0
bailiff	46
bailiffs	7
bailing	71
bailment	0
bailor	0
bails	10
baim	0
bained	0
baineys	0
bainians	0
bainipe	0
baint	0
baipsing	0
baircul	0
baired	0
bairn	11
bairns	0
bairs	0
baise	0
baisees	0
baistes	0
bait	457
baited	17
baiths	0
baiting	36
baits	9
baize	0
bake	267
baked	302
baker	83
bakers	9
bakes	27
baking	166
baksheesh	5
balance	706
balanced	116
balbim	0
balbims	0
balbled	0
bald	439
baldened	0
balder	5
balders	0
baldest	0
balding	28
baldly	0
baldmess	0
baldness	11
baldraid	0
baldrics	0
balds	0
bale	71
baleful	5
bales	9
balfs	0
balgess	0
balia	0
balics	0
balied	0
balk	2
balked	9
balkie	0
balks	1
balkway	0
ball	4973
ballad	57
ballade	1
ballades	0
ballads	20
ballal	0
ballans	0
ballast	54
ballcock	2
ballet	428
ballets	11
ballils	0
balloats	0
balloms	0
balloon	422
ballooned	3
balloons	224
ballose	0
balloss	0
ballosts	0
ballot	61
ballots	15
ballpoint	17
ballpoints	1
ballroom	169
ballrooms	1
balls	1927
bally	10
ballyl	0
balm	28
balmnent	0
balmnents	0
balms	1
balmy	26
balping	0
balps	0
balsa	5
balsam	1
balsams	1
balthen	0
balve	0
balves	0
bamalls	0
bamarned	0
bamb	0
bambing	0
bamboo	70
bamboos	4
bambs	0
bame	0
bamewoot	0
bamies	0
bamly	0
bammard	0
bammards	0
bammed	0
bammet	0
bammets	0
bammoon	0
bamn	0
bamna	0
bamp	0
bamped	0
bamper	0
bample	0
bampled	0
bamples	0
bampling	0
bamppounts	0
bamps	0
bamy	0
ban	125
banal	14
banced	0
banched	0
banches	0
bancing	0
band	2485
bandage	137
bandaged	25
bandans	0
bandbox	1
bandeau	0
banded	9
bandied	11
banding	6
bandit	126
bandits	133
bands	251
bandsman	0
bandsmen	0
bandstand	24
bandstands	0
bandstocks	0
bandstone	0
bandwax	0
bandy	16
bane	24
baneer	0
baneers	0
baneful	1
baneing	0
banen	0
baners	0
banfreys	0
bang	625
bangboy	0
bange	0
banged	154
bangeers	0
bangees	0
bangeing	0
banger	28
bangers	21
banging	386
bangle	2
bangles	3
bangs	82
banish	60
banished	92
banjo	76
banjos	4
bank	3822
banked	22
banker	225
bankers	97
banking	130
banknote	6
banknotes	11
bankroll	56
bankrope	0
bankrough	0
bankrupt	136
bankrupts	4
banks	497
banlaid	0
banlaids	0
banmumns	0
banmurl	0
bannand	0
banned	132
bannem	0
bannems	0
banner	127
