ortho	freq
assail	0.27
assailed	1.27
assails	0.05
assalled	0.0
assards	0.0
assasks	0.0
assault	22.71
assaults	4.31
assay	4.93
assayed	1.35
assays	2.22
assbile	0.0
asseased	0.0
asseaved	0.0
asseipt	0.0
assent	4.16
assents	0.14
assert	6.98
asserts	3.29
asses	0.59
assess	26.75
assessed	22.18
asset	20.46
assets	43.3
asshole	0.49
assholes	0.16
assians	0.0
asside	0.0
assign	3.81
assigned	12.22
assigns	1.01
assill	0.0
assills	0.0
assinged	0.0
assist	25.34
assists	1.7
assit	0.0
assize	0.45
assobs	0.0
assoits	0.0
assones	0.0
assooths	0.0
assorts	0.03
assosed	0.0
assote	0.0
assoused	0.0
assown	0.0
assuage	0.59
assuaged	0.51
assuced	0.0
assued	0.0
assuice	0.0
assume	41.17
assumed	43.72
assumes	10.09
assure	9.71
assured	22.47
assures	1.34
asteive	0.0
asteived	0.0
aster	0.23
astern	0.74
asters	0.14
asthessed	0.0
asthma	6.53
astide	0.0
astir	0.05
astled	0.0
astlide	0.0
astling	0.0
asto	0.0
astood	0.0
astound	0.19
astounds	0.06
astral	0.52
astraud	0.0
astray	1.72
astride	1.48
astripe	0.0
astrisks	0.0
astrives	0.0
astrow	0.0
astry	0.0
asts	0.0
astures	0.0
astute	2.47
asty	0.0
asur	0.0
asurs	0.0
at	4781.78
atake	0.0
atang	0.0
atch	0.03
ate	17.56
athed	0.0
athens	10.83
athews	0.0
athinned	0.0
athlete	3.66
athletes	4.75
athrall	0.0
aths	0.0
athur	0.0
athus	0.0
athwart	0.15
atights	0.0
atill	0.0
atiln	0.0
atinged	0.0
atiors	0.0
atirt	0.0
atirts	0.0
atived	0.0
atlas	2.59
atoll	0.59
atolls	0.32
atom	5.52
atoms	10.56
atone	0.33
atoned	0.1
atop	1.4
atplains	0.0
atplant	0.0
atread	0.0
atrie	0.0
atrorb	0.0
atrourts	0.0
attach	8.08
attached	39.39
attack	95.27
attacked	29.0
attacks	33.95
attag	0.0
attail	0.0
attain	4.59
attained	5.56
attains	0.53
attar	0.06
attempt	114.32
attempts	51.86
attend	35.9
attends	2.48
attest	0.69
attests	0.57
attic	6.5
attics	0.63
attines	0.0
attiph	0.0
attired	0.86
attle	0.0
attles	0.0
attoined	0.0
attorbs	0.0
attorm	0.0
attormed	0.0
attorsed	0.0
attosh	0.0
attract	25.45
attracts	4.58
atunge	0.0
atunged	0.0
aturn	0.0
aturred	0.0
aturts	0.0
atus	0.0
atuse	0.0
atyp	0.01
atyps	0.0
aubels	0.0
auburn	1.08
auced	0.0
auction	13.27
auctioned	1.55
auctions	2.06
audballs	0.0
audeer	0.0
audience	54.8
audit	22.68
audits	2.22
aufer	0.0
auger	0.39
augers	0.07
aughers	0.0
aughing	0.0
aughings	0.0
aught	0.62
aughtbound	0.0
aughties	0.0
aughtling	0.0
aughtlings	0.0
aughts	0.0
aughtworm	0.0
aughty	0.0
augment	1.58
augments	0.19
augur	0.42
augured	0.18
augurs	0.23
august	80.37
auk	0.34
auks	0.28
aulas	0.0
aules	0.0
aulie	0.0
auling	0.0
aulm	0.0
auls	0.0
auly	0.0
aunchen	0.0
aunching	0.0
aunnies	0.0
aunots	0.0
aunstials	0.0
aunt	30.68
aunter	0.0
auntie	6.75
aunties	0.29
aunts	2.38
auphar	0.0
auphars	0.0
aura	4.18
aural	1.01
auras	0.06
ause	0.0
aussie	1.98
aussies	1.16
austere	3.07
austria	12.89
austrian	7.17
austrians	0.98
autcheen	0.0
autchies	0.0
autchly	0.0
author	43.52
authors	25.1
autle	0.0
autles	0.0
autnent	0.0
autnents	0.0
auto	2.56
autos	0.1
autoun	0.0
autumn	39.18
autumns	0.04
auves	0.0
auxwash	0.0
avail	3.59
availed	0.3
avails	0.04
aved	0.0
avenge	0.97
avenged	0.48
avens	0.24
aver	0.16
averred	0.31
avers	0.12
averse	1.43
avert	2.24
averts	0.12
avid	1.66
avief	0.0
avill	0.0
avioned	0.0
avite	0.0
avives	0.0
avoid	79.73
avoids	4.46
avote	0.0
avow	0.03
avowed	1.1
avows	0.04
await	5.21
awaits	2.44
awake	14.12
awakes	0.2
awant	0.0
awants	0.0
award	151.14
awards	23.73
aware	107.64
awash	1.73
away	387.47
awdes	0.0
awds	0.0
awe	5.27
awed	1.27
aweigh	0.03
awes	0.02
awesome	3.97
awestruck	0.44
awful	30.44
awhe	0.0
awheap	0.0
awhile	0.89
awipe	0.0
awise	0.0
awish	0.0
awked	0.0
awks	0.0
awkward	15.77
awl	0.45
awled	0.0
awls	0.0
awning	0.74
awnings	0.55
awo	0.0
awoke	3.71
awood	0.0
awooth	0.0
aword	0.0
awow	0.0
awped	0.0
awry	1.02
awse	0.0
awur	0.0
awuy	0.0
axe	7.91
axed	1.95
axes	4.35
axing	0.44
axiom	0.91
axioms	0.66
axis	10.41
axle	1.66
axles	0.55
ay	2.52
ayah	0.19
ayards	0.0
aybence	0.0
aybent	0.0
aybents	0.0
aybo	0.0
aydran	0.0
aye	51.66
ayed	0.0
ayes	0.23
ayshay	0.0
ayst	0.0
aze	0.0
azure	1.06
azz	0.0
ba	10.03
baa	1.37
baaed	0.0
baas	0.19
baban	0.0
babbed	0.0
babbing	0.0
babble	1.12
babbled	0.35
babbling	0.67
babe	2.01
babeats	0.0
babel	0.73
babes	1.17
babied	0.05
babies	24.49
baboon	0.9
baboons	0.83
babu	0.06
baby	90.7
bacan	0.0
baccy	0.32
bace	0.0
baced	0.0
bached	0.0
baching	0.0
bacing	0.0
back	1023.27
backache	0.74
backaches	0.06
backbench	1.3
backbone	3.78
backbones	0.26
backbosks	0.0
backchat	0.25
backcliffs	0.0
backclink	0.0
backclip	0.0
backclips	0.0
backcloth	0.73
backcloths	0.04
backcombed	0.12
backdate	0.09
backdeeds	0.0
backdoor	0.29
backdrop	4.36
backdrops	0.47
backed	25.2
backer	0.79
backers	1.79
